"Relative Pressure","Volume @ STP"
5.55000e-07,0.0120
1.23000e-06,0.0230
2.38000e-06,0.0340
4.18000e-06,0.0460
6.74000e-06,0.0570
1.02000e-05,0.0680
1.49000e-05,0.0800
2.10000e-05,0.0910
2.89000e-05,0.1020
3.89000e-05,0.1140
5.14000e-05,0.1250
6.69000e-05,0.1360
8.64000e-05,0.1470
1.11000e-04,0.1590
1.40000e-04,0.1700
1.78000e-04,0.1810
2.22000e-04,0.1920
2.74000e-04,0.2030
3.37000e-04,0.2140
4.12000e-04,0.2250
4.99000e-04,0.2350
6.02000e-04,0.2460
7.20000e-04,0.2560
8.55000e-04,0.2660
1.01000e-03,0.2750
1.18000e-03,0.2840
1.38000e-03,0.2940
1.59000e-03,0.3020
1.82000e-03,0.3110
2.08000e-03,0.3190
2.36000e-03,0.3270
2.66000e-03,0.3350
3.02000e-03,0.3440
3.41000e-03,0.3520
3.82000e-03,0.3600
4.27000e-03,0.3670
4.74000e-03,0.3740
5.23000e-03,0.3820
5.75000e-03,0.3880
6.29000e-03,0.3950
7.09000e-03,0.4040
7.63000e-03,0.4100
8.40000e-03,0.4180
9.20000e-03,0.4250
1.00000e-02,0.4320
1.13000e-02,0.4410
1.25000e-02,0.4500
1.50000e-02,0.4650
1.75000e-02,0.4790
2.00000e-02,0.4900
2.50000e-02,0.5100
3.00000e-02,0.5280
3.50000e-02,0.5440
4.00000e-02,0.5580
5.00000e-02,0.5830
6.00000e-02,0.6050
7.00000e-02,0.6240
8.00000e-02,0.6420
9.00000e-02,0.6580
1.00000e-01,0.6730
1.20000e-01,0.7010
1.40000e-01,0.7260
1.60000e-01,0.7510
1.80000e-01,0.7740
2.00000e-01,0.7950
2.25000e-01,0.8220
2.50000e-01,0.8480
2.75000e-01,0.8730
3.00000e-01,0.8980
3.25000e-01,0.9240
3.50000e-01,0.9490
3.75000e-01,0.9740
4.00000e-01,1.0000
4.25000e-01,1.0260
4.50000e-01,1.0530
4.75000e-01,1.0810
5.00000e-01,1.1090
5.50000e-01,1.1700
5.75000e-01,1.2010
6.00000e-01,1.2330
6.25000e-01,1.2680
6.50000e-01,1.3050
6.75000e-01,1.3440
7.00000e-01,1.3850
7.25000e-01,1.4300
7.50000e-01,1.4780
7.75000e-01,1.5310
8.00000e-01,1.5900
8.20000e-01,1.6420
8.40000e-01,1.7000
8.60000e-01,1.7650
8.80000e-01,1.8390
9.00000e-01,1.9250
9.10000e-01,1.9740
9.20000e-01,2.0300
9.30000e-01,2.0890
9.40000e-01,2.1630
9.50000e-01,2.2460
9.60000e-01,2.3300
9.70000e-01,2.5150
9.80000e-01,2.8000
9.88000e-01,3.1600
