pp0,uptake
0.00533196,55.13078
0.00666368,58.56747
0.00864723,61.67076
0.01010709,63.59894
0.01305047,66.67277
0.01639101,69.41767
0.02031401,72.02267
0.02549071,74.77398
0.03053923,76.97273
0.03356691,78.14794
0.03972528,80.25661
0.04991336,83.29139
0.06238082,86.36322
0.07362832,88.85021
0.07977473,90.11091
0.09742002,93.40854
0.12457722,98.05239
0.15144038,102.3487
0.17601718,106.13082
0.20076523,109.94185
0.22471399,113.61563
0.2478103,117.20778
0.27122591,120.86811
0.30066176,125.62454
0.32574247,129.75106
0.34711829,133.3609
0.37070231,137.50907
0.39644621,142.28396
0.42550823,147.90579
0.45128694,153.18316
0.47553587,158.47842
0.50115489,164.54961
0.52630616,171.13455
0.55041106,178.17004
0.5763404,186.67119
0.59948467,195.37457
0.62408751,206.32089
0.64901371,219.8168
0.67301228,235.82253
0.69711279,256.54936
0.72062985,284.08889
0.74541574,322.34011
0.76994589,371.55847
0.79915432,431.5671
0.82810311,481.50609
0.85020112,518.98082
0.87231255,562.54997
0.89757158,618.07471
0.91011767,645.81912
0.91822162,669.85387
0.92537461,690.98735
0.93023536,710.47404
0.94161955,749.36799
0.94814432,779.4667
0.95965887,834.72514
0.96868434,885.75111
0.97505676,928.4884
0.98074493,961.66446
0.98816413,1016.96515
0.99455255,1069.01076
0.99787144,1130.09438
0.98982822,1091.11715
0.98072656,1036.0211
0.97399317,995.93338
0.96827613,969.70731
0.95983952,927.43729
0.94917938,875.95649
0.93779228,826.40024
0.92568125,785.39235
0.92445302,777.94659
0.914902,747.06332
0.90739211,723.76251
0.89807185,696.80638
0.87311761,632.57115
0.84315354,574.69592
0.81841955,536.71434
0.80059189,503.63586
0.77393145,412.32373
0.7484754,364.66739
0.7253552,316.96404
0.70176583,261.99827
0.69711279,256.54936
0.67301228,235.82253
0.64901371,219.8168
0.62408751,206.32089
0.59948467,195.37457
0.5763404,186.67119
0.55041106,178.17004
0.52630616,171.13455
0.50115489,164.54961
0.47553587,158.47842
0.45128694,153.18316
0.42550823,147.90579
0.39644621,142.28396
0.37070231,137.50907
0.34711829,133.3609
0.32574247,129.75106
0.30066176,125.62454
0.27122591,120.86811
0.2478103,117.20778
0.22471399,113.61563
0.20076523,109.94185
0.17601718,106.13082
0.15144038,102.3487
0.12457722,98.05239
0.09742002,93.40854
0.07977473,90.11091
0.07362832,88.85021
0.06238082,86.36322
0.04991336,83.29139
0.03972528,80.25661
0.03356691,78.14794
0.03053923,76.97273
0.02549071,74.77398
0.02031401,72.02267
0.01639101,69.41767
0.01305047,66.67277
0.01010709,63.59894
0.00864723,61.67076
0.00666368,58.56747
0.00533196,55.13078
